epoch;loss;lr;val_loss
0;2.50162935256958;0.02;1.5084235668182373
1;1.342244267463684;0.02;1.246186375617981
2;1.1956088542938232;0.02;1.1238703727722168
3;1.1271764039993286;0.02;1.1021808385849
4;1.094132423400879;0.02;1.0703524351119995
5;1.0475564002990723;0.02;0.9885197877883911
6;1.023997187614441;0.02;1.058785080909729
7;1.0046072006225586;0.02;0.9874441027641296
8;1.0015020370483398;0.02;1.004867672920227
9;0.9881353974342346;0.02;0.9823412299156189
10;0.9860240817070007;0.02;1.0107618570327759
11;0.9746095538139343;0.02;1.0215070247650146
12;0.8966130018234253;0.01;0.9080020785331726
13;0.8970879912376404;0.01;0.96551114320755
14;0.8923245668411255;0.01;0.9112129211425781
15;0.8602866530418396;0.005;0.8960500955581665
16;0.857752799987793;0.005;0.8806577920913696
17;0.857883632183075;0.005;0.8977721929550171
18;0.8541283011436462;0.005;0.9014015197753906
19;0.8376608490943909;0.0025;0.8704245686531067
20;0.8392921686172485;0.0025;0.8919468522071838
21;0.837407112121582;0.0025;0.8665378093719482
22;0.8371807336807251;0.0025;0.8860654830932617
23;0.8375189900398254;0.0025;0.8728789687156677
24;0.8258264064788818;0.00125;0.8612930774688721
25;0.8271424174308777;0.00125;0.8734774589538574
26;0.8263851404190063;0.00125;0.8637742400169373
27;0.8220786452293396;0.000625;0.859931468963623
28;0.821297824382782;0.000625;0.8677935600280762
29;0.820827305316925;0.000625;0.868181049823761
30;0.8190742135047913;0.0003125;0.8576343059539795
31;0.8191144466400146;0.0003125;0.8728002309799194
32;0.81846684217453;0.0003125;0.8562465906143188
33;0.8189620971679688;0.0003125;0.8639596104621887
34;0.8192529678344727;0.0003125;0.8689399361610413
35;0.8178771138191223;0.00015625;0.8552564382553101
36;0.8179548382759094;0.00015625;0.8562839031219482
37;0.8169103860855103;0.00015625;0.8520351052284241
38;0.8164235949516296;0.00015625;0.8545266389846802
39;0.8164822459220886;0.00015625;0.8584520816802979
40;0.8159820437431335;7.8125e-05;0.8535971641540527
41;0.8153073787689209;7.8125e-05;0.8562851548194885
42;0.8151715993881226;3.90625e-05;0.855034351348877
43;0.8157274723052979;3.90625e-05;0.8577701449394226
44;0.8149837255477905;1.953125e-05;0.8585583567619324
45;0.8150103688240051;1.953125e-05;0.8533816337585449
46;0.8144357204437256;9.765625e-06;0.8575751781463623
47;0.8145425319671631;9.765625e-06;0.8618712425231934
48;0.8146004676818848;4.8828124e-06;0.8555678129196167
49;0.8149119019508362;4.8828124e-06;0.8535029888153076
